0,0,0,8,8,2,sulfur
0,0,1,8,8,1,sulfur
0,0,2,8,8,6,ore
0,0,3,8,8,5,ore
0,0,4,8,8,4,ore
0,0,5,8,8,3,ore
0,0,6,8,8,2,ore
0,0,7,8,8,1,ore
8,0,0,8,8,2,sulfur
8,0,1,8,8,1,sulfur
8,0,2,8,8,6,ore
8,0,3,8,8,5,ore
8,0,4,8,8,4,ore
8,0,5,8,8,3,ore
8,0,6,8,8,2,ore
8,0,7,8,8,1,ore
16,0,0,8,8,2,nickel
16,0,1,8,8,1,nickel
16,0,2,8,8,6,ore
16,0,3,8,8,5,ore
16,0,4,8,8,4,ore
16,0,5,8,8,3,ore
16,0,6,8,8,2,ore
16,0,7,8,8,1,ore
24,0,0,8,8,2,nickel
24,0,1,8,8,1,nickel
24,0,2,8,8,6,ore
24,0,3,8,8,5,ore
24,0,4,8,8,4,ore
24,0,5,8,8,3,ore
24,0,6,8,8,2,ore
24,0,7,8,8,1,ore
